12:17| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://tyrolese-screws.000webhostapp.com:3306/id4642694_przproject]
12:17| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=id4642694_przproject, password=****, characterEncoding=UTF-8}
12:17| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:17| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
12:17| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:20| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
12:20| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
12:20| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
12:20| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
12:20| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://tyrolese-screws.000webhostapp.com:3306]
12:20| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=id4642694_przproject, password=****, characterEncoding=UTF-8}
12:20| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:20| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
12:20| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:20| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
12:20| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
12:20| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
12:20| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
12:20| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://databases.000webhost.com:3306/id4642694_przproject]
12:20| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=id4642694_przproject, password=****, characterEncoding=UTF-8}
12:20| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:20| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
12:20| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:20| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
12:20| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
12:20| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
12:20| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
12:20| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://databases.000webhost.com:3306]
12:20| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=id4642694_przproject, password=****, characterEncoding=UTF-8}
12:20| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:20| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
12:20| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:22| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
12:22| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
12:22| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
12:22| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
12:22| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://databases.000webhost.com/id4642694_przproject]
12:22| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=id4642694_przproject, password=****, characterEncoding=UTF-8}
12:22| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:22| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
12:22| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:36| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
12:36| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
12:36| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
12:36| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
12:36| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freemysqlhosting.net:3306/sql11207305]
12:36| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11207305, password=****, characterEncoding=UTF-8}
12:36| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:36| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
